task_id	name	status	exit	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar
1607	PULL_MHC_PROTEINS (238)	CACHED	0	1.8s	31.4%	1.2%	45.3 MB	498.7 MB	45.3 MB	498.7 MB	6.2 MB	5.6 KB
1616	PULL_IPD_MHC (239)	CACHED	0	2.7s	23.8%	1.1%	43.9 MB	497.9 MB	43.9 MB	498.2 MB	6.6 MB	12.8 KB
1620	PULL_IPD_MHC (240)	CACHED	0	1.8s	32.1%	1.2%	45.2 MB	498.8 MB	45.2 MB	498.8 MB	6.6 MB	19.3 KB
1614	PULL_IPD_KIR (260)	CACHED	0	2s	33.0%	1.2%	46.6 MB	499.9 MB	46.6 MB	499.9 MB	6.6 MB	12.7 KB
1621	PULL_IPD_KIR (262)	CACHED	0	2.3s	31.2%	1.2%	45.3 MB	498.8 MB	45.3 MB	498.8 MB	6.6 MB	13.4 KB
1615	PULL_IPD_KIR (261)	CACHED	0	2s	35.1%	1.2%	46 MB	499.9 MB	46 MB	499.9 MB	6.6 MB	12.7 KB
1623	PULL_IPD_KIR (263)	CACHED	0	2.5s	28.7%	1.2%	45.5 MB	498.8 MB	45.5 MB	498.8 MB	6.6 MB	13.4 KB
1622	PULL_IPD_MHC (241)	CACHED	0	1.5s	32.1%	0.5%	17.4 MB	469.2 MB	17.4 MB	469.3 MB	6.6 MB	12.9 KB
1618	PULL_MHC_PROTEINS (239)	CACHED	0	1.9s	28.7%	1.2%	45.8 MB	498.7 MB	45.8 MB	498.7 MB	6.2 MB	5.8 KB
1633	PULL_MHC_PROTEINS (241)	CACHED	0	1.8s	28.7%	1.2%	45 MB	498.7 MB	45 MB	498.7 MB	6.2 MB	5.8 KB
1629	PULL_MHC_PROTEINS (240)	CACHED	0	2s	33.0%	1.2%	45.1 MB	498.7 MB	45.1 MB	498.7 MB	6.2 MB	5.8 KB
1626	PULL_IPD_KIR (264)	CACHED	0	2.2s	30.1%	1.2%	45.1 MB	498.8 MB	45.1 MB	498.8 MB	6.6 MB	13.4 KB
1639	PULL_IPD_KIR (266)	CACHED	0	1.6s	39.4%	1.2%	46.6 MB	499.9 MB	46.6 MB	499.9 MB	6.6 MB	13.4 KB
1506	PULL_MHC_PROTEINS (228)	CACHED	0	1.8s	31.8%	1.2%	44.9 MB	498.7 MB	44.9 MB	498.7 MB	6.2 MB	5.5 KB
1642	PULL_IPD_MHC (244)	CACHED	0	1.9s	27.8%	1.2%	46.1 MB	499.8 MB	46.1 MB	499.8 MB	6.6 MB	9.2 KB
1647	PULL_IPD_MHC (245)	CACHED	0	1.9s	30.8%	1.2%	45 MB	498.8 MB	45 MB	498.8 MB	6.6 MB	9.2 KB
1655	PULL_IPD_MHC (246)	CACHED	0	2.1s	29.7%	1.2%	45.5 MB	498.8 MB	45.5 MB	498.8 MB	6.6 MB	9.2 KB
1547	PULL_MHC_PROTEINS (233)	CACHED	0	2.1s	27.0%	1.2%	45.8 MB	498.7 MB	45.8 MB	498.7 MB	6.2 MB	5.6 KB
1659	PULL_IPD_MHC (247)	CACHED	0	1.9s	32.3%	1.2%	46.5 MB	499.8 MB	46.5 MB	499.8 MB	6.6 MB	9.2 KB
1665	PULL_IPD_MHC (248)	CACHED	0	1.8s	30.8%	1.2%	46.3 MB	499.8 MB	46.3 MB	499.8 MB	6.6 MB	9.2 KB
1663	PULL_MHC_PROTEINS (245)	CACHED	0	1.9s	33.7%	1.2%	45.4 MB	498.7 MB	45.4 MB	498.7 MB	6.2 MB	5.5 KB
1666	PULL_IPD_MHC (249)	CACHED	0	2s	35.5%	1.2%	45.5 MB	498.8 MB	45.5 MB	498.8 MB	6.6 MB	9.2 KB
1670	PULL_IPD_MHC (250)	CACHED	0	2.2s	31.2%	1.2%	46.7 MB	499.8 MB	46.7 MB	499.8 MB	6.6 MB	9.3 KB
1561	PULL_IPD_MHC (231)	CACHED	0	2.2s	36.5%	1.2%	45.3 MB	498.8 MB	45.3 MB	498.8 MB	6.6 MB	10.5 KB
1648	PULL_IPD_KIR (268)	CACHED	0	1.9s	39.6%	1.2%	45.2 MB	498.8 MB	45.2 MB	498.8 MB	6.6 MB	13.4 KB
1583	PULL_MHC_PROTEINS (237)	CACHED	0	1.7s	31.9%	0.5%	18.8 MB	470.7 MB	18.8 MB	470.7 MB	6.2 MB	5.7 KB
1603	PULL_IPD_KIR (256)	CACHED	0	2s	36.3%	1.2%	46 MB	498.8 MB	46 MB	498.8 MB	6.2 MB	5.4 KB
1636	PULL_IPD_KIR (265)	CACHED	0	2.6s	24.1%	1.1%	43.9 MB	497.9 MB	43.9 MB	498.2 MB	6.6 MB	13.5 KB
1671	PULL_IPD_MHC (251)	CACHED	0	2.1s	31.9%	1.2%	45.2 MB	498.8 MB	45.2 MB	498.8 MB	6.6 MB	9 KB
1645	PULL_MHC_PROTEINS (244)	CACHED	0	2s	36.8%	1.2%	45 MB	498.7 MB	45 MB	498.7 MB	6.2 MB	5.5 KB
1641	PULL_MHC_PROTEINS (243)	CACHED	0	1.9s	31.8%	1.2%	45.6 MB	498.7 MB	45.6 MB	498.7 MB	6.2 MB	5.8 KB
1635	PULL_MHC_PROTEINS (242)	CACHED	0	1.9s	28.9%	1.2%	45.4 MB	498.7 MB	45.4 MB	498.7 MB	6.2 MB	5.8 KB
1681	PULL_IPD_KIR (272)	CACHED	0	2.1s	32.2%	1.2%	46.9 MB	499.9 MB	46.9 MB	499.9 MB	6.6 MB	13.1 KB
1680	PULL_IPD_KIR (271)	CACHED	0	2.3s	40.1%	1.2%	45.3 MB	498.8 MB	45.3 MB	498.8 MB	6.6 MB	12.5 KB
1668	PULL_MHC_PROTEINS (246)	CACHED	0	1.9s	30.8%	0.5%	18.8 MB	470.7 MB	18.8 MB	470.7 MB	6.2 MB	5.5 KB
1678	PULL_IPD_MHC (253)	CACHED	0	2s	29.9%	1.2%	46.2 MB	499.8 MB	46.2 MB	499.8 MB	6.6 MB	9 KB
1674	PULL_MHC_PROTEINS (247)	CACHED	0	2s	29.9%	1.2%	45.5 MB	498.7 MB	45.5 MB	498.7 MB	6.2 MB	5.5 KB
1684	PULL_MHC_PROTEINS (248)	CACHED	0	1.7s	36.6%	1.2%	45.8 MB	498.7 MB	45.8 MB	498.7 MB	6.2 MB	5.5 KB
1700	PULL_IPD_KIR (275)	CACHED	0	2.1s	31.7%	1.2%	45.2 MB	498.8 MB	45.2 MB	498.8 MB	6.6 MB	8.5 KB
1704	PULL_MHC_PROTEINS (249)	CACHED	0	1.9s	31.0%	1.2%	45.4 MB	498.7 MB	45.4 MB	498.7 MB	6.2 MB	5.5 KB
1649	PULL_IPD_KIR (269)	CACHED	0	1.9s	30.3%	0.5%	17.7 MB	469.2 MB	17.7 MB	469.3 MB	6.6 MB	13.3 KB
